date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:09:47	136061/136061	---M-Z	200	added ('OK')	text/html	etag:%22f0079d975be3d3faafb9f980a8215ab9%22	https://joshuachengaudio.framer.website/	C:/My%20Web%20Sites/Portfolio/joshuachengaudio.framer.website/index.html	(from )
16:09:47	104/104	---M-Z	200	added ('OK')	text/plain	etag:%228d119b6b10b12d81c57afe7ce0d0b715%22	https://joshuachengaudio.framer.website/robots.txt		(from )
16:09:47	157/157	---MC-	200	added ('OK')	image/png	etag:%227f6fa817cb1fee775df9d3e86f435a5e%22	https://framerusercontent.com/images/8kpo5fyWeNoErmchyX4ltDfmu9o.png	C:/My%20Web%20Sites/Portfolio/framerusercontent.com/images/8kpo5fyWeNoErmchyX4ltDfmu9o.png	(from https://joshuachengaudio.framer.website/)
16:09:47	114542/114542	---M-Z	200	added ('OK')	text/html	etag:%2232b9ac257021bb89415181aa5ff78b69%22	https://joshuachengaudio.framer.website/about	C:/My%20Web%20Sites/Portfolio/joshuachengaudio.framer.website/about.html	(from https://joshuachengaudio.framer.website/)
16:09:48	271333/271333	---M-Z	200	added ('OK')	text/html	etag:%2231dbe258480c138536fb88f88a28a124%22	https://joshuachengaudio.framer.website/contact	C:/My%20Web%20Sites/Portfolio/joshuachengaudio.framer.website/contact.html	(from https://joshuachengaudio.framer.website/)
16:09:48	125343/125343	---M-Z	200	added ('OK')	text/html	etag:%22c1dbc04bf19b72d880a6c70d442899fa%22	https://joshuachengaudio.framer.website/work/platereverbproject	C:/My%20Web%20Sites/Portfolio/joshuachengaudio.framer.website/work/platereverbproject.html	(from https://joshuachengaudio.framer.website/)
16:09:49	321391/321391	---MC-	200	added ('OK')	image/jpeg	etag:%2258e75ab3b38213491ee351a4ddad723f%22	https://framerusercontent.com/images/3fzEplPrd80iPJ8SfmR3V9I735s.jpg	C:/My%20Web%20Sites/Portfolio/framerusercontent.com/images/3fzEplPrd80iPJ8SfmR3V9I735s.jpg	(from https://joshuachengaudio.framer.website/)
16:09:49	125218/125218	---M-Z	200	added ('OK')	text/html	etag:%228b3ea2742e2c9d93342a7bff732596ec%22	https://joshuachengaudio.framer.website/work/iphisandianthe	C:/My%20Web%20Sites/Portfolio/joshuachengaudio.framer.website/work/iphisandianthe.html	(from https://joshuachengaudio.framer.website/)
16:09:49	426068/426068	---MC-	200	added ('OK')	image/jpeg	etag:%22cd38be0d8629ad7585fdc528a7c7f2c3%22	https://framerusercontent.com/images/iJKOEXaH4wqz0EIKyPtD4naTc4.jpg	C:/My%20Web%20Sites/Portfolio/framerusercontent.com/images/iJKOEXaH4wqz0EIKyPtD4naTc4.jpg	(from https://joshuachengaudio.framer.website/)
16:09:50	121719/121719	---M-Z	200	added ('OK')	text/html	etag:%2226ea04a38d85d7a7ebb1ab3a1a11245f%22	https://joshuachengaudio.framer.website/work/nimb	C:/My%20Web%20Sites/Portfolio/joshuachengaudio.framer.website/work/nimb.html	(from https://joshuachengaudio.framer.website/)
16:09:50	30415/30415	---MC-	200	added ('OK')	image/png	etag:%22ef44956ec050b30c5477fad7662c1538%22	https://framerusercontent.com/images/9hl2AbXpxXBxlSV32QOpax5DA.png	C:/My%20Web%20Sites/Portfolio/framerusercontent.com/images/9hl2AbXpxXBxlSV32QOpax5DA.png	(from https://joshuachengaudio.framer.website/)
16:09:50	123260/123260	---M-Z	200	added ('OK')	text/html	etag:%2220eb95a98e8e2e4ffc66a2020459dc55%22	https://joshuachengaudio.framer.website/work/yourdarling	C:/My%20Web%20Sites/Portfolio/joshuachengaudio.framer.website/work/yourdarling.html	(from https://joshuachengaudio.framer.website/)
16:09:50	28610/28610	---MC-	200	added ('OK')	image/jpeg	etag:%221ecb824037d0e02a8e0e65d947f5c5f9%22	https://framerusercontent.com/images/ZRHQZO0O7NGLYDIZEPekX6J1xyw.jpg	C:/My%20Web%20Sites/Portfolio/framerusercontent.com/images/ZRHQZO0O7NGLYDIZEPekX6J1xyw.jpg	(from https://joshuachengaudio.framer.website/)
16:09:51	121981/121981	---M-Z	200	added ('OK')	text/html	etag:%223d089532295eb3d9276ddd07c8b18ae9%22	https://joshuachengaudio.framer.website/work/2inspire	C:/My%20Web%20Sites/Portfolio/joshuachengaudio.framer.website/work/2inspire.html	(from https://joshuachengaudio.framer.website/)
16:09:53	417829/417829	---MC-	200	added ('OK')	image/png	etag:%22b39476d1834d1ce6d17cd91f277f5e9a%22	https://framerusercontent.com/images/IAQqq5ohxNnvHXlS5sKAWci9Ng.png	C:/My%20Web%20Sites/Portfolio/framerusercontent.com/images/IAQqq5ohxNnvHXlS5sKAWci9Ng.png	(from https://joshuachengaudio.framer.website/about)
